Date,Category
2002-10-09,catastrophic
2002-10-10,catastrophic
2003-02-04,extraordinary
2003-02-05,extraordinary
2003-02-27,cat0
2003-08-17,extraordinary
2003-09-03,cat0
2003-09-07,extraordinary
2003-09-20,extraordinary
2003-09-21,extraordinary
2003-09-22,extraordinary
2003-09-27,cat0
2003-09-28,cat0
2003-09-29,cat0
2003-09-30,cat0
2003-10-04,extraordinary
2003-10-16,extraordinary
2003-10-17,extraordinary
2003-10-18,extraordinary
2003-11-10,cat0
2003-12-04,extraordinary
2003-12-10,extraordinary
2004-03-29,extraordinary
2004-04-16,cat0
2004-06-13,extraordinary
2004-08-04,extraordinary
2004-08-05,extraordinary
2004-08-30,extraordinary
2004-09-02,cat0
2004-09-07,extraordinary
2005-05-16,extraordinary
2005-06-14,extraordinary
2005-07-30,cat0
2005-08-02,extraordinary
2005-08-19,extraordinary
2005-08-20,extraordinary
2005-09-05,catastrophic
2005-09-06,catastrophic
2005-09-07,catastrophic
2005-09-08,catastrophic
2005-09-12,extraordinary
2005-09-13,extraordinary
2005-09-14,extraordinary
2005-09-15,extraordinary
2005-09-16,extraordinary
2005-09-17,extraordinary
2005-09-25,extraordinary
2005-09-26,extraordinary
2005-10-11,catastrophic
2005-10-12,catastrophic
2005-10-13,catastrophic
2005-10-14,catastrophic
2005-10-18,extraordinary
2005-11-09,extraordinary
2005-11-13,catastrophic
2005-11-14,catastrophic
2005-11-15,catastrophic
2006-07-06,extraordinary
2006-07-14,extraordinary
2006-08-14,extraordinary
2006-08-15,extraordinary
2006-08-25,extraordinary
2006-09-12,catastrophic
2006-09-13,catastrophic
2006-09-14,catastrophic
2006-10-11,extraordinary
2006-10-18,cat0
2006-11-03,extraordinary
2007-02-17,cat0
2007-04-01,extraordinary
2007-04-03,extraordinary
2007-04-04,extraordinary
2007-06-04,cat0
2007-07-21,extraordinary
2007-08-06,extraordinary
2007-08-07,extraordinary
2007-08-12,extraordinary
2008-05-27,extraordinary
2008-05-28,extraordinary
2008-05-29,extraordinary
2008-06-01,cat0
2008-07-12,extraordinary
2008-09-11,extraordinary
2008-09-22,extraordinary
2008-10-03,extraordinary
2008-10-17,cat0
2008-10-18,cat0
2008-11-02,catastrophic
2009-05-13,cat0
2009-05-14,cat0
2009-05-26,extraordinary
2009-08-09,cat0
2009-09-14,cat0
2009-10-22,extraordinary
2010-05-01,cat0
2010-05-02,cat0
2010-05-03,cat0
2010-05-13,cat0
2010-06-10,extraordinary
2010-06-11,extraordinary
2010-06-12,extraordinary
2010-07-29,extraordinary
2010-08-19,cat0
2010-09-17,extraordinary
2010-09-24,extraordinary
2010-10-10,catastrophic
2010-10-11,catastrophic
2010-10-12,catastrophic
2010-10-13,catastrophic
2011-03-12,extraordinary
2011-03-13,extraordinary
2011-03-14,extraordinary
2011-03-15,extraordinary
2011-03-16,extraordinary
2011-07-19,cat0
2011-07-26,extraordinary
2011-07-30,extraordinary
2011-09-18,extraordinary
2011-10-24,extraordinary
2011-10-27,cat0
2011-11-01,extraordinary
2011-11-02,extraordinary
2011-11-03,extraordinary
2011-11-04,extraordinary
2011-11-05,extraordinary
2011-11-06,extraordinary
2011-11-07,extraordinary
2011-11-08,extraordinary
2011-11-12,extraordinary
2011-11-13,extraordinary
2011-11-14,extraordinary
2011-11-15,extraordinary
2011-11-16,extraordinary
2011-11-17,extraordinary
2011-11-18,extraordinary
2011-11-19,extraordinary
2011-11-20,extraordinary
2011-11-21,extraordinary
2011-11-22,extraordinary
2012-03-20,cat0
2012-03-21,cat0
2012-03-22,cat0
2012-09-29,cat0
2012-10-26,cat0
2012-11-17,extraordinary
2013-01-20,cat0
2013-03-04,extraordinary
2013-03-05,extraordinary
2013-03-06,extraordinary
2013-06-17,catastrophic
2013-06-18,catastrophic
2013-07-13,extraordinary
2013-08-27,cat0
2013-08-28,cat0
2013-09-06,cat0
2013-09-07,cat0
2013-09-08,cat0
2013-09-10,cat0
2013-11-16,cat0
2013-11-17,cat0
2013-11-18,cat0
2013-11-19,cat0
2014-05-24,cat0
2014-07-06,cat0
2014-07-07,cat0
2014-08-02,extraordinary
2014-08-22,cat0
2014-09-05,cat0
2014-09-28,extraordinary
2014-09-29,extraordinary
2014-11-03,cat0
2014-11-26,extraordinary
2014-11-29,catastrophic
2014-11-30,catastrophic
2014-12-01,catastrophic
2015-02-27,extraordinary
2015-02-28,extraordinary
2015-03-01,extraordinary
2015-03-02,extraordinary
2015-03-03,extraordinary
2015-03-04,extraordinary
2015-03-05,extraordinary
2015-03-22,cat0
2015-06-10,extraordinary
2015-06-14,cat0
2015-06-15,cat0
2015-07-31,cat0
2015-08-14,cat0
2015-09-29,extraordinary
2015-09-30,extraordinary
2015-11-01,catastrophic
2015-11-02,catastrophic
2015-11-03,catastrophic
2016-06-18,cat0
2016-09-14,cat0
2016-09-23,extraordinary
2016-09-24,extraordinary
2016-09-25,extraordinary
2016-10-12,catastrophic
2016-10-13,catastrophic
2016-10-14,catastrophic
2016-11-23,extraordinary
2016-11-26,extraordinary
2016-11-27,extraordinary
2017-01-21,extraordinary
2017-01-22,extraordinary
2017-01-27,cat0
2017-03-24,cat0
2017-06-30,extraordinary
2017-07-23,cat0
2017-10-18,cat0
2017-10-19,cat0
2017-11-03,cat0
2018-06-06,extraordinary
2018-07-16,extraordinary
2018-08-09,cat0
2018-08-14,cat0
2018-08-17,extraordinary
2018-08-31,cat0
